	P0	P10	P20	P30	P40	P60	P90	P120	R0	R10	R20	R30	R40	R60	R90
YIL018W									38.32	47.17	27.28	17.27	16.91	25.28	29.04
YIL019W									1.06	0.22	0.15	0.21	0.18	0.49	0.79
YIL020C									1.01	0.84	0.62	0.61	0.6	0.65	0.8
YIL022W									0.88	1.32	1.53	1.51	1.56	1.17	0.92
YIL023C									1.02	1.2	1.36	1.46	1.78	1.54	1.43
YIL024C									0.45	0.51	0.61	0.49	0.52	0.5	0.37
YIL025C															
YIL026C									0.78	0.64	0.61	0.64	0.69	0.61	0.77
YIL027C									2.18	2.7	2.35	1.98	2.23	2.37	2.35
YIL028W									0.29	0.3	0.32	0.33		0.35	0.22
YIL029C									1.13	1.26	1.42	1.17	1.38	1.38	1.07
YIL030C									2.3	1.48	1.88	2.26	2.4	2.72	2.35
YIL032C															
YIL033C					35				2.01	4.01	5.33	4.87	4.87	3.66	2.43
YIL034C									2.77	4.82	5.58	5.39	4.89	4.17	3.07
YIL035C									2.94	3.33	3.45	2.82	3.07	2.56	2.74
YIL036W			51						0.77	1.17	1.46	1.31	1.39	1.11	0.81
YIL037C															
YIL038C									1.63	0.96	0.93	0.9	1.21	0.91	1.29
YIL039W									2.11	2.17	1.94	1.8	2.01	2.47	2.29
YIL040W									2.17	2.33	1.78	1.78	2.08	3.13	2.33
YIL042C									0.47	0.54	0.56	0.63	0.67	0.68	0.62
YIL043C									7.52	8.52	7.16	6.55	6.68	8.82	8.88
YIL044C									1.07	1.15	1.06	1.02	1.13	1.19	1.21
YIL045W							17		0.49	0.53	0.72	0.61	0.43	0.61	0.61
YIL047C									1.56	0.58	0.52	0.66	0.82	1.55	1.38
YIL048W									1.04	0.95	1.09	1.27	1.52	1.11	1.16
YIL049W									0.82	0.88	0.88	0.96	0.84	0.9	0.72
YIL050W									0.62	0.91	1.01	1.02	1.16	0.93	0.7
YIL052C									24.5	34.17	19.63	12.25	11.51	16.16	17.45
YIL054W									0.59	0.48	0.43	0.5	0.44	0.44	
YIL055C									0.2	0.2	0.19	0.36	0.25	0.27	0.2
YIL056W									0.74	1.22	0.81	0.6	0.54	0.5	0.65
YIL057C															
YIL058W															
YIL059C									0.72	0.64	0.62	0.72	0.72	0.85	0.61
YIL060W															
YIL061C									0.37	0.3	0.34	0.39	0.31	0.49	0.39
YIL064W															
YIL065C									1.13	1.99	2.54	3.28	3.37	1.38	1.25
YIL066C									0.97						
YIL067C									0.66						
YIL068C									1.2	1.08	1.19	1.15	1.21	0.89	1.14
YIL069C									20.71						
YIL070C									1.52						
YIL071C									0.49	0.56	0.63	0.56	0.65	0.51	0.54
YIL072W															
YIL073C									0.45	0.4	0.33	0.4	0.37	0.35	0.43
YIL074C								408	1.7	2.69	2.84	2.51	3.17	3.28	2.24
YIL075C									2.93						
YIL076W									3.9						
YIL079C									0.9	0.38	0.32	0.46	0.47	0.6	0.72
YIL080W							29	23							
YIL082W									0.34	0.38	0.32	0.44	0.41	0.41	0.41
YIL082W-A															
YIL084C					16				0.74	0.71	0.71	0.72	0.67	0.67	0.69
YIL085C									1.85	1.51	1.19	1.03	1.11	1.38	1.53
YIL086C															
YIL087C									0.63	1.28	1.73	2.03	1.77	1.22	0.67
YIL088C									1.25	1.53	1.86	2.09	2.32	1.89	1.44
YIL089W															
YIL090W									1.51			0.8			
YIL091C								34	1.27	0.74	0.54	0.29	0.55	0.76	0.88
YIL093C									1.35	1.09	1.18	1.02	0.95	0.98	0.39
YIL094C									3.4	3.54	2.57	1.94	2.3	2.68	3.74
YIL095W				7					0.62	0.55	0.54	0.49	0.54	0.48	0.53
YIL096C									1.27	0.43	0.34	0.34	0.41	0.88	1.25
YIL097W									0.42	0.71	0.81	0.78	0.62	0.45	0.47
YIL098C									1.39	2.9	3.35	3.4	2.88	1.59	1.33
YIL099W									0.22	0.5	0.58	0.79	0.6	0.4	0.25
YIL100W															
YIL101C									0.56	2.34	4.18	3.37	4.21	1.34	2.01
YIL102C															
YIL103W	35								1.32	0.83	0.5	0.61	0.76	1.23	1.41
YIL104C									0.9	0.5	0.48	0.58	0.57	0.64	0.81
YIL105C									1.64	1.5	1.79	1.57	1.7	1.44	1.66
YIL106W									0.82	0.9	0.86	0.87	0.92	0.78	0.92
YIL107C						15			1.4	2.85	3.89	4	4.2	1.74	2.25
YIL108W								42	0.79	1.01	1.06	1.16	1.52	1.88	1.37
YIL109C									2.6	1.61	2.02	2.96		3.83	3.47
YIL111W									2.14	6.76	5.97	8.5	8.04	6.01	3.48
YIL112W									2.2	1.89	2.14	2.29	2.6	1.67	2.22
YIL113W															
YIL114C									0.95	1.08	1.05	0.97	1.11	1.27	0.86
YIL116W									1.67	1.86	1.56	1.44	1.91	1.96	2.03
YIL117C						337			1.77	3.1	4.03	6.83	9.13	11.4	5.86
YIL118W									3.13	3.74	3.69	3.54	4.45	4.91	4.1
YIL119C									0.85	0.76	0.78	0.75	0.94	0.41	0.82
YIL120W							65		0.22	0.22	0.25	0.29	0.37	0.36	0.32
YIL121W									0.76	1.09	1.36	1.4	1.26	0.79	0.66
YIL122W									0.72	0.67	0.8	0.83	0.77	0.75	0.59
YIL123W									4.29	3.2	2.83	3.86	4.66	6.02	6.68
YIL124W									2.07	5.27	7.45	6.95	7.77	4.22	3.18
YIL127C									1.58	0.54	0.35	0.38	0.6	1.21	1.43
YIL128W									0.87	0.56	0.65	0.63	0.74	0.64	0.78
YIL130W									1.03	0.57	0.63	0.73	0.81	0.84	1.02
YIL131C															
YIL132C															
YIL134W									0.69	0.85	0.81	0.82	0.81	0.82	0.69
YIL135C									1.28	1.84	2.04	1.92	2.38	1.93	1.58
YIL136W									0.6	3.39	7.64	6.38	6.38	2.42	1.46
YIL139C															
YIL140W									0.86	0.64	0.74	0.86	1.16	1.26	1.3
YIL141W															
YIL142W			147						2.95	4.14	4.46	4.5	4.59	5.89	4.14
YIL143C															
YIL144W						35			0.65	0.48	0.57	0.51	0.52	0.4	0.61
YIL145C		55				274									
YIL146C									0.46	0.35	0.4	0.46	0.42	0.56	0.52
YIL147C								15							
YIL148W									21.77	31.43	20.74	14.97	13.49	17.44	16.96
YIL150C															
YIL152W	122														
YIL153W									0.59	0.7	0.71	0.75	0.97	0.88	0.7
YIL154C									1.68	1.99	2.21	1.84	1.74	2.24	2.16
YIL155C									1.26	2.16	2.47	2.86	2.98	1.64	1.61
YIL156W	31	4			10	15									
YIL156W-A							149								
YIL157C									2.75	4.38	4.92	5.03	5.24	3.76	2.77
YIL158W									2.21	2.47	1.96	2.08	2.11	1.52	1.86
YIL160C									0.23	0.18	0.46	0.6	0.67	0.35	0.21
YIL161W									0.93	0.61	0.76	0.89	1.24	0.89	0.74
YIL162W															
YIL163C															
YIL164C									0.5	0.6	0.64	0.64	0.44	0.57	0.49
YIL165C									0.79	1.03	0.83		0.8	0.93	0.66
YIL166C									0.32	0.32	0.34	0.41	0.26	0.38	0.39
YIL167W															
YIL168W															
YIL169C	48								0.51				0.61		
YIL170W					42										
YIL171W															
YIL172C									0.26	0.47	0.44	0.38	0.27	0.28	0.23
YIL173W			17						0.38	0.29	0.27	0.3	0.3	0.25	0.26
YIL174W															
YIL175W															
YIL176C									0.98	1.13	0.99	1.05	1.22	1.47	1.63
YIL177C		124				38									
YIR001C									0.7	0.78	0.7	0.56	0.58	0.6	0.69
YIR002C															
YIR003W									0.7	0.8	1.06	1.12	1.05	0.63	0.73
YIR004W									1.25	0.96	1	0.92	1.15	0.96	1.07
YIR005W									0.88	0.89	0.92	0.92	0.73	0.78	0.78
YIR008C									0.75	0.89	0.89	0.83	1	0.77	0.85
YIR009W									0.4	0.51	0.48	0.52	0.47	0.42	0.4
YIR010W															
YIR011C									1.59	1.8	1.75	2.12	1.89	2.17	1.89
YIR012W															
YIR013C															
YIR014W															
YIR015W															
YIR016W															
YIR017C															
YIR018W															
YIR019C															
YIR020C															
YIR021W															
YIR022W									2.59	3	2.61	2.9	3.42	3.75	3.17
YIR023W															
YIR024C									0.63	0.93	0.97	0.99	0.99	0.85	0.76
YIR025W									0.32	0.33	0.36	0.34	0.34	0.33	0.32
YIR026C									1.4	0.62	0.32	0.31	0.43	1.04	1.16
YIR027C	38														
YIR028W															
YIR029W									0.94	1.01	0.92	1.17	0.9	1.07	0.84
YIR030C									0.3	0.34	0.26	0.3	0.32	0.36	0.34
YIR031C									0.27	0.33	0.3	0.33	0.36	0.35	0.43
YIR032C									0.46	0.58	0.53	0.78	0.76	0.71	0.57
YIR033W									1.15	0.84	0.75	0.71	0.86	0.91	1.38
YIR035C									1.68	1.64	1.23	1.11	1.18	3.01	2
YIR036C									0.78	1.52	2.14	2.49	2.69	2.19	1.16
YIR038C									1.72	3.94	6.72	10.11	14.3	10.69	3.97
YIR039C									0.28	0.49	1.01	0.89	1.18	0.61	0.4
YIR040C															
YIR041W									0.58	0.65	0.72	0.64	0.78	0.79	0.75
YIR042C									0.33	0.33	0.32	0.3	0.28	0.37	0.32
YIR043C															
YIR044C															
YJL001W									3.75	8.49	10.82	9.35	10.75	11.28	6.66
YJL002C									3.29	3.53	3.53	3.68	4.08	4.17	3.63
YJL003W									1.06	1.77	1.86	1.53	1.78	1.22	1.18
YJL004C									1.3	1.32	1.24	1.22	1.35	1.33	1.37
YJL006C									0.89	0.72	0.67	0.63	0.78	0.99	0.99
YJL007C															
YJL008C									2.63	2.94	3.42	3.22	3.69	4.19	3.13
YJL009W									1.78	2.69	2.9	2.25	2.64	3.01	2.08
YJL010C									1.39	0.54	0.4	0.52	0.56	0.85	1.04
YJL011C									1.53	1.23	1	1.04	0.98	1.32	1.34
YJL012C					54				4.61	0.28	1.33			4.61	3.82
YJL013C															
YJL014W									2.78	3.28	3.19	3.26	3.52	3.88	3.15
YJL015C									0.81	1.13	1.55	1.69	1.17	1.21	0.77
YJL017W									0.65	0.74	1.08	1.21	0.93	0.97	0.67
YJL018W															
YJL019W															
YJL021C															
YJL022W									1.17	1	1.16	1.33	1.27	1.17	1.03
YJL023C									0.73	0.92	0.88	0.9	0.73	0.9	0.78
YJL024C									0.65	0.72	0.71	0.76	0.81	0.87	0.72
YJL025W			118						0.65	0.37	0.34	0.41	0.41	0.43	0.58
YJL026W									6.9	8.74	7.1	7.1	8.15	11.06	10.39
YJL027C															
YJL028W															
YJL029C									1.12	1.13	1.13	1.07	1.15	0.92	1.09
YJL030W									1.7	1.65	1.72	1.68	1.88	1.52	1.12
YJL031C									1.65	3.39	4.04	3.56	3.28	3.54	2.64
YJL032W															
YJL035C									0.76	0.83	0.68	0.76	0.83	1.4	1.12
YJL036W									0.78	1.14	1.48	1.35	1.22	1.21	1.07
YJL037W															
YJL038C															
YJL039C									1.4	1.22	1.34	1.22	1.05	1.12	1.02
YJL043W															
YJL044C									0.8	0.78	0.76	0.81	0.82	0.75	0.74
YJL045W				50					0.23	0.37	0.44	0.71	0.99	0.65	0.22
YJL046W															
YJL047C									0.78	0.6	0.67	0.62	0.68	0.62	0.63
YJL048C									1.65	4.46	5.52	6.09	4.68	7.39	4.3
YJL050W									1.36	0.5	0.47	0.41	0.48	0.8	0.99
YJL051W									0.58	0.42	0.52		0.47	0.22	0.4
YJL053W									1.79	2.68	2.8	2.4	2.76	2.57	2.27
YJL054W									1.66	2.88	1.86	1.96	1.73	1.98	1.69
YJL055W									2.76	5.23	5.76	4.65	5.02	4.1	3.43
YJL056C															
YJL058C		417					901								
YJL059W									1.28	1.56	1.42	1.51	1.43	1.16	1.35
YJL060W									0.68	1.37	1.48	1.45	1.24	0.89	0.74
YJL061W									1.2	0.92	1.02	1.24	0.91	1.62	0.96
YJL063C									1.11	2.15	2.07	2.26	1.87	1.23	0.87
YJL064W															
YJL065C									1	1.19	0.9	0.87	0.96	1.05	1.11
YJL066C									1.05	2.89	3.63	3.32	3.36	2.41	1.36
YJL067W															
YJL069C									1.4	0.37	0.23	0.34	0.49	0.78	1.06
YJL070C									0.61	0.87	1.01	0.97	1.01	0.54	0.56
YJL071W									0.86	0.84	0.7	0.7	0.68	1.14	1.59
YJL072C									0.91	1.03	0.98	0.98	1.01	0.93	1.03
YJL073W									0.71	0.55	0.64	0.74	0.96	1.06	1.08
YJL074C									0.89	0.54	0.51	0.52	0.61	0.63	0.78
YJL075C									1.2	0.69	0.68	0.54	0.71	0.74	0.98
YJL077C															
YJL078C									0.94	0.81	0.71	0.84	0.76	0.82	0.63
YJL079C									1.56	1.67	1.59	2.24	2.66	2.79	1.87
YJL081C									0.8	0.59	0.58	0.58	0.62	0.77	0.84
YJL082W									0.6	1.01	0.93	0.84	0.78	0.55	0.73
YJL084C									0.8	0.48	0.58	0.65	0.71		0.49
YJL085W									0.39	0.31	0.34	0.31	0.35	0.27	0.32
YJL086C															
YJL087C									0.7	0.39	0.34	0.37	0.41	0.42	0.57
YJL088W															
YJL089W	22				15										
YJL090C									1.04	0.76	0.79	0.81	0.89	1.16	1.12
YJL091C									1.33	1.63	1.65	1.93	2.26	2.24	2.26
YJL093C		29							1.22	1.19	1.29	1.46	1.46	1.4	1.55
YJL094C									1.39	1.48	1.74	1.81	1.82	2.37	1.72
YJL096W									1.29	2.19	2.62	2.3	2.21	1.53	1.38
YJL097W									1.9	2.23	1.9	1.85	1.82	2.11	2.31
YJL098W					16				1.05	0.34	0.24	0.33	0.44	0.51	
YJL099W									0.43	0.54	0.59	0.61	0.65	0.55	0.49
YJL100W									0.44	0.75	0.84	0.74	0.67	0.69	0.61
YJL101C									0.92	2.87	2.72	2.28	2.3	1.39	1.49
YJL102W									0.5	1.45	1.97	1.27	1.25	0.65	0.63
YJL103C									0.28	0.67	0.59	0.48	0.48	0.34	0.21
YJL104W									1.26	1.62	1.85	1.71	1.69	1.46	1.41
YJL105W		10						12							
YJL106W									0.54	0.56	0.71	0.7	0.68	0.7	0.53
YJL107C									0.62	0.3	0.44	0.46	0.63	0.66	0.88
YJL108C									0.51	0.43	0.55	0.57	0.6	0.6	0.7
YJL110C						30			1.58	1.33	1.43	1.35	1.35	1.03	1.69
YJL111W									2.85	3.27	3.06	3.25	3.34	3.61	2.73
YJL113W															
YJL114W															
YJL115W									1.01	0.81	0.79	0.81	1.19	1.13	1.14
YJL116C									0.72	1.04	1.31	2.29	1.76	5.53	2.56
YJL117W									1.97	2.01	1.6	1.75	2.31	2.39	2.19
YJL118W									1.29	1.11	0.85	0.88	1.1	1.26	1.42
YJL119C									0.84	0.68	0.57	0.63	0.63	0.8	0.77
YJL120W									1.28	1.2	1.23	1.11	0.91	1.02	1.1
YJL122W									1.95	0.93	0.49	0.51	0.76	1.43	1.66
YJL124C									1.85	2.31	2.17	1.74	1.78	2	1.73
YJL125C									1.58	0.76	0.6	0.68	0.85	1.25	1.43
YJL126W															
YJL127C									1.02	0.52	0.65	0.62	0.69	0.81	0.95
YJL128C									0.95	1.19	1.48	1.38	1.4	1.58	1.13
YJL129C	39								1.54	0.91	0.92	0.91	1.15	1.06	1.31
YJL131C									0.65	1.26	1.41	1.29	1.25	0.61	0.65
YJL132W									1.15	1.67	1.87	2.1	2.12	1.28	1.12
YJL133W						56									
YJL134W			135						1.41	1.35	1.17	1.07	1.11	1.15	1.2
YJL135W									0.96	0.88	0.77	0.81	0.75	0.79	0.78
YJL137C					23										
YJL139C									0.44	0.37	0.37	0.47	0.47	0.53	0.45
YJL141C									0.45	0.44	0.7	0.73	0.67	0.57	0.49
YJL142C									1.21	2.18	2.57	2.43	1.77	1.7	1.43
YJL143W									3.15	4.28	3.96	4.25	4.62	4.05	2.94
YJL144W															
YJL145W									1.78	1.78	1.43	1.45	1.55	2.19	1.99
YJL146W									0.5	0.61	0.62	0.66	0.58	0.52	0.57
YJL147C									0.56	0.41	0.4	0.37	0.48	0.46	0.53
YJL148W									4.06	1.91	0.93	1.13	1.54	2.35	2.72
YJL149W								40	0.51	0.48	0.57	0.68	0.82	0.54	0.7
YJL150W															
YJL151C									4.85	9.64	10.05	12.37	9.98	11.62	6.82
YJL152W									1.27	2.71	2.53	2.75	2.3	2.75	1.84
YJL153C															
YJL154C									1.12	1.14	1.47	1.37	1.6	1.58	1.41
YJL155C							9		1.06	3.13	3.21	2.96	2.18		0.45
YJL156C									0.59	0.43	0.48	0.55	0.56	0.53	0.58
YJL157C									2.22	1.07	0.91	1.13	1.53	1.09	1.07
YJL158C									20.76	25.91	23.03	31.46	36.64	49.71	42.09
YJL160C									0.68	0.73	0.63	0.89	1.05	0.87	0.5
YJL161W									2.5	8.45	15.66	17.87	20.95	8.45	5.03
YJL162C							141		0.71	0.5	0.55	0.47	0.58	0.5	0.63
YJL163C									1.3	4.6	4.03	4.9	3.95	1.5	
YJL164C															
YJL166W									4.73	12.56	9.86	7.89	7.26	6.59	5.21
YJL168C									1.04	0.75	0.84	0.73	0.81	0.42	0.82
YJL169W									1.77	1.66	1.54	1.26	1.39	0.92	1.32
YJL170C															
YJL171C									5.77	8.33	8.69	10.77	9.91	15.98	9.77
YJL172W									1.46	1.83	2.39	3.25	3.29	2.83	2.04
YJL173C									2.82	4.02	3.35	2.96	3.22	3.8	3.72
YJL174W									4.25	5.2	4.43	4.47	5.02	5.5	5.27
YJL175W															
YJL178C									2.53	3.27	2.64	2.52	2.79	2.93	3.3
YJL179W									1.65	1.7	1.23	1.23	1.34	1.47	1.61
YJL180C									0.82	1.46	1.73	1.5	1.37	0.96	0.86
YJL181W									0.68	0.6	0.68	0.73	0.85	0.37	0.62
YJL182C															
YJL183W					19				2.02	1.88	1.73	1.79	1.98	1.73	2.32
YJL185C									0.62	0.77	0.88	1.02	1.16	0.93	0.79
YJL186W									1.9	2.05	1.99	2.18	2.61	2.3	2.19
YJL187C								33	0.78	0.58	0.62	0.63	0.74	0.6	0.97
YJL188C									6.53	9.36	6.13	4.84	4.19	5.68	6.09
YJL189W									26.8	35.6	22.85	18.18	16.38	21.92	20.31
YJL191W									8.07	9.47	5.67	4.36	4.27	5	5.07
YJL192C									2.84	3.5	3.24	2.98	3.38	3.29	3.35
YJL193W								51	0.81	0.68	0.58	0.63	0.72	0.79	0.63
YJL194W						36			0.65						0.48
YJL195C															
YJL196C									4.98	6.66	6.09	6.39	6.26	4.39	4.33
YJL197W								6	0.83	0.63	0.59	0.68	0.66	0.68	0.88
YJL198W									1.6	0.82	0.54	0.71	0.77	1.06	1.44
YJL199C									0.74	1.08	1.08	1.21	1.24	1.21	0.93
YJL201W		9							0.63	0.51	0.54	0.48	0.58	0.36	0.62
YJL202C									0.68	0.77	0.74	0.64	0.69	0.5	0.6
YJL203W									0.7	0.59	0.7	0.64	0.69	0.5	0.6
YJL204C									0.7	0.74	0.74	0.67	0.74	0.67	0.67
YJL206C									0.93	1.5	1.81	1.77	1.95	1.61	1
YJL208C									1.23	0.64	0.48	0.5	0.71	1.06	1.24
YJL209W									0.87	0.79	0.69	0.82	0.84	0.76	0.75
YJL210W									0.7	1.17	1.23	1.25	1.05	1.15	0.78
YJL211C															
YJL212C									1.32	0.98	0.83	0.74	0.73	0.67	0.8
YJL213W									0.74	1.05	0.92	1.02	0.92	0.91	0.94
YJL215C															
YJL216C															
YJL218W									0.48	0.77	0.73	0.6	0.33	0.33	0.3
YJL219W															
YJL220W															
YJL221C									0.19	0.33	0.34	0.32	0.24	0.21	0.21
YJL222W									0.4	0.31	0.34	0.34	0.34	0.33	0.31
YJL223C									0.84	0.79	0.73	0.75	0.93	1.12	1.22
YJL225C									2.27	2.17	2.31	2.28	2.39	1.81	2.01
YJR001W				47					2.4	2.91	2.76	3.12	3.26	3.1	3.21
YJR002W									1.6	0.49	0.46	0.43	0.51	0.97	1.32
YJR003C									1.06	0.47	0.32	0.33	0.45	0.65	0.9
YJR004C									2.49	1.8	2.02	2.29	2.09	2.47	2.39
YJR005W									0.94	0.77	0.92	0.79	0.88	0.77	0.83
YJR006W									1.13	1.19	1.21	1.08	0.92	1.11	1.18
YJR008W									0.69	1.19	1.56	1.97	0.87	1.29	0.92
YJR010C-A															
YJR011C									0.5	0.61	0.55	0.57	0.4	0.51	0.62
YJR012C									0.6	0.79	0.62	0.64	0.6	0.67	0.71
YJR013W									0.86	0.99	0.89	0.93	0.86	1.04	0.99
YJR015W							80		2.56	2.28	1.88	1.83	1.88	2.08	2.26
YJR017C						18			1.91	2.8	2.59	2.76	2.82	2.7	2.61
YJR018W															
YJR019C									0.57	0.8	0.83	0.96	0.85	0.89	0.83
YJR020W															
YJR021C							17		0.8	1.1	1.14	1.28	1	0.99	1.02
YJR022W									0.88	1.03	1.11	0.92	1.2		1.09
YJR023C															
YJR024C									2.6	3.07	2.26	2.12	2.74	3.29	3.07
YJR026W									3.05	2.5	2.26	2.48	3.78	5.02	5.2
YJR027W									4.38	3.89	3.89	3.63	5.62	6.69	7.47
YJR028W									3.2	2.56	2.17	2.61	3.93	4.94	5.19
YJR029W									4.94	4.45	4.21	4.12	5.83	6.65	6.74
YJR030C									0.88	0.69	0.6	0.55	0.81	0.66	0.71
YJR032W									1.35	1.1	0.88	0.75	0.96	1.07	1.34
YJR034W									1.73	3.82	3.66	2.9	3.15	2.23	1.57
YJR035W									0.61	0.54	0.58	0.54	0.61	0.42	0.61
YJR036C									0.57	1.03	1.06	0.92	0.82	0.37	0.45
YJR037W															
YJR038C															
YJR040W									0.65	0.52	0.5	0.59	0.66	0.62	0.59
YJR041C						19			1.26	0.4	0.29	0.38	0.53	0.73	1.22
YJR042W									1.21	0.87	0.94	0.89	0.96	0.89	0.91
YJR043C			19						1.13	0.9	0.8	0.76	0.85	1.02	1.21
YJR044C									2.04	4.05	4.1	4.52	4.25	2.86	2.71
YJR046W									0.73	0.84	0.76	0.66	0.82	1.1	1.41
YJR048W									2.57	7.26	4.56	2.41	2	2.2	2.36
YJR049C									1.06	1.04	1.25	1.14	1.38	1.39	1.36
YJR050W									0.64	0.64	0.63	0.59	0.72	0.76	0.73
YJR051W				16					1.48	1.84	1.76	1.84	1.96	1.63	1.56
YJR052W									1.02	0.94	0.99	1.16	1.37	1.45	1.24
YJR053W									0.29	0.16	0.18	0.22	0.22	0.23	0.29
YJR054W									1.09	0.8	0.82	0.92	1.43	1.9	1.83
YJR055W									0.81	0.6	0.6	0.7	0.71	1.02	0.91
YJR056C									0.79	0.87	0.76	0.67	0.76	0.82	0.81
YJR057W									1.8	2.44	2.48	2.26	2.34	2.19	2.23
YJR058C									1.73	2.76	2.49	2.32	2.52	2.45	2.16
YJR059W									1.82	3.9	5.18	4.61	4.54	2.34	2.37
YJR061W				10											
YJR062C			13						1.01	1.23	1.5	1.48	1.42	1.31	1
YJR064W						14			6.81	7.35	7.15	7.15	8.16	9.5	7.56
YJR067C									1.41	2.4	2.3	2.07	1.96	2.48	1.47
YJR068W			32						1.48	1.47	1.22	1.1	1.39	1.68	1.64
YJR071W															
YJR072C									1.59	1.32	1.2	1.22	1.75	2.39	2.09
YJR073C									3.03	7.35	14.8	21.67	27.62	18.35	10.47
YJR074W									0.93	1.54	2.1	2.75	3.12	2.79	2.24
YJR075W									1.67	1.72	1.51	1.47	1.64	1.84	1.84
YJR076C									1.39	1.54	1.51	1.35	1.5	1.38	1.78
YJR077C									4.4	6.14	4.92	4.31	3.6	4.4	4.62
YJR078W															
YJR079W									1.07	1.93	2.13	2.07	1.59	1.99	1.63
YJR080C															
YJR082C									1.68	1.78	1.67	1.65	1.31	2.25	2.23
YJR083C									0.65	0.75	0.71	0.72	0.74	0.58	0.66
YJR084W									0.85	0.95	0.96	1.04	0.82	0.89	0.91
YJR085C									6.2	12.57	14.34	16.36	16.14	12.57	9.6
YJR086W									1.92	2.68	3.19	2.7	2.53	2.21	2.46
YJR087W															
YJR088C									1.79	2.57	2.61	2.38	2	1.95	2.19
YJR089W		11													
YJR091C									0.88	1.07	1.35	1.36	1.29	1.09	0.86
YJR093C									0.67	0.57	0.76	0.53	0.67	0.7	
YJR094C															
YJR094W-A	46441	25201	51361	48416	17739	10996	23502	12913							
YJR095W									0.22	0.16	0.21	0.21	0.19	0.23	0.18
YJR097W									0.68	0.24	0.22	0.26	0.29	0.56	0.68
YJR098C					10				1.61	1.29	1.27	1.25	1.13	1.34	1.57
YJR099W									0.75	1.11	1.06	1.1	1.3	1.28	0.97
YJR100C									1.49	2.75	2.46	2.28	2.3	2.46	2.1
YJR101W									2.23	3.04	3.35	2.61	2.58	1.99	1.64
YJR102C									1.42	2.14	1.9	1.87	1.39	1.88	1.59
YJR103W	53								0.6	0.78	0.9	1.12	1.3	1.28	0.83
YJR106W									0.38	0.42	0.51	0.67	0.5	0.64	0.61
YJR107W									0.47	0.61	0.59	0.62	0.78	0.69	0.65
YJR108W															
YJR110W									0.76	0.91	1	0.9	0.76	0.64	0.73
YJR111C									0.97	0.69	0.6	0.68	0.73	0.97	0.69
YJR112W									1.06	0.86	0.85	0.76	0.77	0.59	0.89
YJR113C									1.4	2.31	2.32	2.34	2.58	2.23	1.44
YJR114W									0.74	1.1	1.29	1.13	1.27	1.2	0.81
YJR115W									0.57	0.76	0.74	0.7	0.61	0.52	
YJR116W									0.82	0.86	0.8	0.79	0.69	0.72	0.91
YJR117W									3.09	5.06	4.99	5.13	5.31	4.34	3.57
YJR118C									1.85	2.55	2.48	2.33	2.41	2.41	2.13
YJR119C									0.67	0.55	0.62	0.66	0.75	0.72	1.13
YJR120W															
YJR122W									0.68	1.8	2.42	2.5	2.52	1	0.97
YJR124C									0.96	0.6	0.39	0.43	0.48	0.63	0.69
YJR127C					4										
YJR128W															
YJR129C															
YJR130C									0.69	0.72	0.76	0.93	0.9	0.77	0.84
YJR131W									0.65	0.63	0.72	0.93	0.89	0.6	0.62
YJR132W									1.24	0.48	0.42	0.44	0.57	0.69	1.12
YJR133W															
YJR134C									0.96	0.65	0.72	0.64	0.77	0.52	0.83
YJR135C															
YJR135W-A	138	259	982	204	179	1270	433	316							
YJR136C									0.68	0.6	0.51	0.5	0.5	0.6	0.7
YJR137C															
YJR141W									0.92	0.6	0.53	0.53	0.57	0.83	0.88
YJR142W						35			0.91	1.11	0.78	1	0.98	1.07	0.95
YJR143C									5.04	3.42	2.66	2.72	3.08	3.87	4.39
YJR144W					49				1.85	2.14	1.76	1.63	1.74	2.01	2.14
YJR145C									28.93	30.16	17.08	10.96	11.27	19.09	21.62
YJR146W									0.44	0.4	0.33	0.4	0.39	0.38	0.4
YJR147W									0.5	0.25	0.18	0.21	0.23	0.29	0.34
YJR149W									0.51	0.45	0.44	0.53	0.7	0.46	0.52
YJR150C															
YJR151C									0.47	0.43	0.44	0.42	0.49	0.47	0.49
YJR152W									0.68	0.55	0.65	0.66	0.71	0.78	0.77
YJR153W									0.22	0.16	0.18	0.23	0.27	0.31	0.25
YJR154W									0.29	0.18	0.24	0.33	0.29	0.39	0.26
YJR155W									0.26	0.8	1.17	1.6	1.63	1.51	1.12
YJR156C									0.37	0.36	0.57	0.57	0.82	0.92	0.6
YJR157W															
YJR158W															
YJR159W									0.46	0.87	1.33	1.44	1.57	1.32	0.65
YJR160C									0.18	0.16	0.16	0.17	0.16	0.17	0.16
YJR161C									1.08	1.51	1.52	1.56	1.53	1.65	1.47
YJR162C															
YKL001C									1.11	1.95	1.92	1.8	2.09	2.34	1.7
YKL002W									2.61	4.24	4.51	3.54	3.67	3.44	3.1
YKL003C									1.83	3.04	3.49	3.37	3.21	2.74	1.98
YKL004W									1.8	1.19	0.85	1.08	1.08	1.55	1.73
YKL005C					12				0.56	0.46	0.47	0.47	0.48	0.43	0.59
YKL006C-A															
YKL007W									2.8	5.64	6.43	5.45	5.45	4.81	3.45
YKL008C									1.48	1.08	0.77	0.86	0.98	1.34	1.45
YKL011C									0.65		0.63	0.65	0.48	0.65	0.82
YKL012W									1.75	1.58	1.63	1.38	1.71	1.42	1.94
YKL013C									3.53	6.27	7.25	6.72	5.53	6.1	4.43
